iter	Passed	Remaining
401	17866	48798
402	17909	48750
403	17953	48704
404	17995	48655
405	18040	48611
406	18083	48562
407	18126	48514
408	18170	48469
409	18214	48424
410	18258	48378
411	18301	48330
412	18344	48282
413	18387	48233
414	18431	48189
415	18474	48140
416	18519	48098
417	18564	48054
418	18608	48009
419	18658	47978
420	18701	47930
421	18740	47873
422	18782	47822
423	18827	47780
424	18871	47734
425	18913	47683
426	18957	47638
427	19000	47590
428	19046	47549
429	19091	47506
430	19135	47461
431	19182	47422
432	19239	47409
433	19282	47362
434	19326	47316
435	19370	47271
436	19412	47220
437	19455	47172
438	19501	47133
439	19545	47086
440	19587	47037
441	19630	46989
442	19673	46942
443	19716	46894
444	19762	46851
445	19807	46808
446	19850	46761
447	19895	46719
448	19938	46671
449	19982	46626
450	20026	46581
451	20067	46527
452	20110	46480
453	20155	46438
454	20197	46387
455	20241	46342
456	20287	46300
457	20329	46252
458	20374	46208
459	20420	46168
460	20464	46123
461	20507	46075
462	20551	46030
463	20594	45983
464	20638	45937
465	20681	45890
466	20724	45842
467	20767	45795
468	20821	45771
469	20864	45724
470	20908	45679
471	20951	45631
472	20995	45586
473	21039	45541
474	21086	45502
475	21130	45457
476	21172	45407
477	21214	45358
478	21257	45310
479	21301	45265
480	21344	45217
481	21386	45169
482	21432	45128
483	21475	45080
484	21518	45034
485	21560	44983
486	21601	44933
487	21644	44885
488	21688	44841
489	21731	44794
490	21773	44744
491	21817	44699
492	21861	44653
493	21904	44607
494	21948	44563
495	21991	44515
496	22034	44468
497	22079	44424
498	22121	44376
499	22166	44332
500	22211	44289
501	22255	44245
502	22300	44202
503	22344	44157
504	22390	44115
505	22433	44068
506	22475	44020
507	22519	43974
508	22564	43932
509	22608	43887
510	22651	43840
511	22696	43798
512	22740	43751
513	22782	43703
514	22825	43657
515	22867	43607
516	22912	43564
517	22954	43516
518	22997	43469
519	23040	43422
520	23084	43377
521	23139	43353
522	23182	43306
523	23225	43260
524	23269	43215
525	23311	43166
526	23354	43119
527	23396	43070
528	23439	43024
529	23480	42973
530	23523	42927
531	23566	42880
532	23608	42832
533	23651	42785
534	23694	42738
535	23738	42694
536	23781	42646
