iter	Logloss
0	0.6722251481
1	0.6567058625
2	0.6391746983
3	0.6254284099
4	0.6143733907
5	0.5988680407
6	0.5901578596
7	0.5803799508
8	0.571306462
9	0.5598947287
10	0.5527075959
11	0.5447134498
12	0.5375282036
13	0.5320819478
14	0.5272306254
15	0.5209032272
16	0.5149546749
17	0.5099990009
18	0.5046075976
19	0.4988209032
20	0.4931875639
21	0.4888857708
22	0.4850764446
23	0.4801378739
24	0.4753307001
25	0.4706110427
26	0.466988
27	0.4629181612
28	0.4587705469
29	0.4555464919
30	0.451340133
31	0.4478343454
32	0.4439554284
33	0.441031555
34	0.4370568269
35	0.4331287204
36	0.4301295939
37	0.4266900637
38	0.4236307423
39	0.4205259291
40	0.4173706468
41	0.4140015652
42	0.4110225878
43	0.4076299895
44	0.4059195837
45	0.4035500101
46	0.400294487
47	0.3969270249
48	0.3938191341
49	0.3910417594
50	0.3881361847
51	0.385840449
52	0.3826614999
53	0.3800513116
54	0.3772027397
55	0.3749368014
56	0.3725609186
57	0.3703602678
58	0.3684730938
59	0.3667063876
60	0.3641779284
61	0.3624096723
62	0.3604994534
63	0.3580900331
64	0.3563974416
65	0.3545451083
66	0.3519558924
67	0.3499654494
68	0.3485806936
69	0.3471199591
70	0.3452452327
71	0.3432695183
72	0.3406578104
73	0.3382409469
74	0.3360677089
75	0.334092284
76	0.3318165215
77	0.3306270264
78	0.3293062189
79	0.327628325
80	0.3259366715
81	0.3238092152
82	0.3228035369
83	0.3212619685
84	0.3194559371
85	0.3180106751
86	0.3164250919
87	0.3152079414
88	0.3133401562
89	0.3116777064
90	0.3102733457
91	0.3086955167
92	0.3075751398
93	0.3067119181
94	0.3046694837
95	0.3027331883
96	0.3012847264
97	0.2999157444
98	0.2984356853
99	0.2967227855
100	0.2952223508
101	0.2926644471
102	0.2911465371
103	0.2894817505
104	0.2876832313
105	0.2863841923
106	0.2851504449
107	0.2839904851
108	0.2825047259
109	0.2811033524
110	0.2805242439
111	0.2792415892
112	0.2778842784
113	0.2766457436
114	0.275705736
115	0.2748610622
116	0.2734169967
117	0.2721639079
118	0.2707293382
119	0.2693857676
120	0.2681234473
121	0.2671079037
122	0.2659441393
123	0.2650985205
124	0.2645943814
125	0.2633730669
126	0.2624606361
127	0.2609230445
128	0.2597666281
129	0.2586253521
130	0.2574041667
131	0.256454673
132	0.2554030463
133	0.2549113858
134	0.2538357324
135	0.2530072617
136	0.2521035287
137	0.2510860108
138	0.249990765
139	0.2489867162
140	0.2476299671
141	0.2460300231
142	0.2452588499
143	0.2442322152
144	0.2431527943
145	0.242189763
146	0.2414323873
147	0.2403005682
148	0.2395476722
149	0.2382404391
150	0.237299886
151	0.2365218056
152	0.2356944282
153	0.2347107462
154	0.2336979296
155	0.2331147129
156	0.2322676537
157	0.2315862233
158	0.2308049536
159	0.2299492634
160	0.2293666997
161	0.2287677576
162	0.2277092536
163	0.2266086187
164	0.2256645803
165	0.2245427594
166	0.2238499274
167	0.2227813762
168	0.2221648376
169	0.2213725537
170	0.2204783558
171	0.219526301
172	0.2188952099
173	0.2181040809
174	0.2171550218
175	0.2159949475
176	0.214749353
177	0.2140621222
178	0.2132657106
179	0.2126052374
180	0.2118181028
181	0.2109897431
182	0.2101780196
183	0.2093959561
184	0.2086729783
185	0.2074837902
186	0.2068983771
187	0.2061167435
188	0.2052981915
189	0.2044570757
190	0.2037510618
191	0.2031298913
192	0.2024488246
193	0.2020587746
194	0.2011244359
195	0.2004873902
196	0.199656964
197	0.1987975646
198	0.1982269046
199	0.1974355222
200	0.1968135847
201	0.1962129984
202	0.1956251246
203	0.1949548329
204	0.1941976641
205	0.1934689834
206	0.1929169924
207	0.1924733488
208	0.1920192699
209	0.1913630725
210	0.1909273705
211	0.1903514542
212	0.189436326
213	0.1890598994
214	0.1883989521
215	0.1874973817
216	0.186678632
217	0.186101559
218	0.1857242685
219	0.1852232551
220	0.1846305395
221	0.184280227
222	0.1833779026
223	0.1828205014
224	0.1819846628
225	0.1814784542
226	0.1807296785
227	0.1802709673
228	0.1795268333
229	0.1787548729
230	0.178219406
231	0.1776808668
232	0.1769359142
233	0.1764915437
234	0.1759889014
235	0.1755552901
236	0.1750177282
237	0.1744296463
238	0.1739880975
239	0.1734503669
240	0.172679281
241	0.1722649322
242	0.1717116555
243	0.1709392919
244	0.1704162967
245	0.1699603707
246	0.1694615097
247	0.1688944718
248	0.1685699333
249	0.1680057107
250	0.1675878066
251	0.1669778296
252	0.1663373814
253	0.1655200674
254	0.1651216151
255	0.1646887356
256	0.1642498153
257	0.163780221
258	0.1633211696
259	0.1627581588
260	0.1618516706
261	0.161306278
262	0.1609453533
263	0.1603014698
264	0.1599168766
265	0.1595096914
266	0.1590946375
267	0.1585843525
268	0.1581059139
269	0.1576617181
270	0.1571858108
271	0.1567884041
272	0.1562709927
273	0.155845113
274	0.1554247488
275	0.1548909973
276	0.1546414517
277	0.1541591459
278	0.1538446603
279	0.1532650863
280	0.1528843476
281	0.1524685387
282	0.1519083977
283	0.1514591981
284	0.15108499
285	0.1504541771
286	0.1498661709
287	0.149346477
288	0.1489715384
289	0.1482587752
290	0.1480234955
291	0.1477653298
292	0.1473077317
293	0.1468998919
294	0.1463909597
295	0.1458717338
296	0.1454222108
297	0.1449249413
298	0.1443973182
299	0.14413866
300	0.1435427049
301	0.1432681451
302	0.1428382216
303	0.1425085105
304	0.1423986342
305	0.1420785225
306	0.1417168184
307	0.1413673121
308	0.1408520417
309	0.1404734635
310	0.1400457105
311	0.1396191751
312	0.1391819837
313	0.1388144037
314	0.1385493268
315	0.1380177797
316	0.1376694278
317	0.1371294598
318	0.1367467293
319	0.1362714295
320	0.1359844089
321	0.1357093401
322	0.1353469464
323	0.1350459012
324	0.1345415551
325	0.1341609541
326	0.1338456949
327	0.1335312291
328	0.1331708673
329	0.1326760291
330	0.1322964683
331	0.1320409704
332	0.1314972266
333	0.1312189222
334	0.1308460958
335	0.1305740304
336	0.1302011361
337	0.1299624877
338	0.1295452868
339	0.1292196504
340	0.1288925607
341	0.1282502289
342	0.1278397908
343	0.1275146868
344	0.127093612
345	0.1266553859
346	0.1262650575
347	0.1258493855
348	0.1253561144
349	0.1249206876
350	0.1246365005
351	0.1242677878
352	0.1239263298
353	0.1235098806
354	0.1232228165
355	0.1228886394
356	0.1225020864
357	0.1220671781
358	0.1217845868
359	0.1213380533
360	0.1210710099
361	0.1208291688
362	0.1204688982
363	0.1201919579
364	0.119839845
